src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.16,239.255.255.250,49307,15600,24:fc:e5:ce:23:90,01:00:5e:7f:ff:fa,17,2025-05-15 19:02:57,0.0,0,0,0,0,1,0,77,0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,77,77,77.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,77.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0,1,0,77,0
192.168.1.12,142.250.4.94,55752,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,17,2025-05-15 19:02:57,18090.248107910156,232114.00832937952,608.0624176287628,442.22721282091834,165.83520480784438,8,3,3888,311,1292.0,73.0,486.0,524.2556628211087,162.0,67.0,103.66666666666667,41.69998667732268,1292,67,381.72727272727275,478.9101435758432,229354.92561983474,64,24,8,8,1809.0248107910156,8267.879486083984,0.0,3173.663597587929,18090.248107910156,9066.104888916016,0.0,2584.3211582728795,3777.8820367419617,8756.399154663086,8755.683898925781,0.7152557373046875,4378.199577331543,4377.484321594238,0,0,0,0,1,0,0,0,0,0,0,0.375,381.72727272727275,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377.0,4.0,0.0,0.0,3168008.1878774324,0.0,486.0,103.66666666666667,0,8,3,3888,311
142.250.4.94,192.168.1.12,443,55752,a6:ba:5f:4c:8c:03,c8:a3:e8:00:75:89,17,2025-05-15 19:02:57,83.68492126464844,55732859.98860399,95596.67236467237,95596.67236467237,0.0,8,0,4664,0,1292.0,64.0,583.0,504.09845268558405,0.0,0.0,0.0,0.0,1292,64,583.0,504.09845268558405,254115.25,64,0,8,8,11.954988752092634,83.44650268554688,0.0,29.18640427476272,83.68492126464844,83.44650268554688,0.0,11.954988752092634,29.18640427476272,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,583.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4328.0,8.0,0.0,0.0,51717799.74928775,0.0,583.0,0.0,0,8,0,4664,0
192.168.1.12,150.171.27.11,52719,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:02:58,898040.0562286377,3311.6562890183936,8.90828860529494,6.681216453971205,2.227072151323735,6,2,2854,120,2326.0,60.0,475.6666666666667,829.0640640036343,60.0,60.0,60.0,0.0,2326,60,371.75,740.20702340629,547906.4375,120,40,20,6,128291.4366040911,835412.9791259766,0.0,288995.4231781495,891234.1594696045,835412.9791259766,0.0,178246.8318939209,329262.2048882689,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,371.75,250,16386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.6666666666667,60.0,0,6,2,2854,120
150.171.27.11,192.168.1.12,443,52719,a6:ba:5f:4c:8c:03,c8:a3:e8:00:75:89,6,2025-05-15 19:02:58,876478.910446167,1201.3979885311512,5.704643820185903,5.704643820185903,0.0,5,0,1053,0,422.0,60.0,210.6,156.2224055633506,0.0,0.0,0.0,0.0,422,60,210.6,156.2224055633506,24405.439999999995,100,0,20,5,219119.72761154175,876478.1951904297,0.0,379526.08821078826,876478.910446167,876478.1951904297,0.0,219119.72761154175,379526.08821078826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,210.6,16386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,5.0,0.0,0.0,893.3472222411124,0.0,210.6,0.0,0,5,0,1053,0
192.168.1.16,192.168.1.255,47666,15600,24:fc:e5:ce:23:90,ff:ff:ff:ff:ff:ff,17,2025-05-15 19:03:00,0.0,0,0,0,0,1,0,77,0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,77,77,77.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,77.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0,1,0,77,0
192.168.1.12,23.200.24.89,52813,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:01,8141.994476318359,14738.403513909225,245.64005856515374,245.64005856515374,0.0,2,0,120,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60,60,60.0,0.0,0.0,40,0,20,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,60.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,2,0,120,0
23.200.24.89,192.168.1.12,443,52813,a6:ba:5f:4c:8c:03,c8:a3:e8:00:75:89,6,2025-05-15 19:03:01,0.476837158203125,289406976.0,4194304.0,4194304.0,0.0,2,0,138,0,78.0,60.0,69.0,9.0,0.0,0.0,0.0,0.0,78,60,69.0,9.0,81.0,40,0,20,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,69.0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0,2,0,138,0
149.154.167.99,192.168.1.12,443,52054,a6:ba:5f:4c:8c:03,c8:a3:e8:00:75:89,6,2025-05-15 19:02:55,8014785.528182983,37.430820693216035,0.6238470115536006,0.6238470115536006,0.0,5,0,300,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60,60,60.0,0.0,0.0,100,0,20,5,2003696.3820457458,8014784.574508667,0.0,3470503.386041054,8014785.528182983,8014784.574508667,0.0,2003696.3820457458,3470503.386041054,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,60.0,1528,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,5,0,300,0
192.168.1.16,239.255.255.250,54036,15600,24:fc:e5:ce:23:90,01:00:5e:7f:ff:fa,17,2025-05-15 19:03:03,0.0,0,0,0,0,1,0,77,0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,77,77,77.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,77.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0,1,0,77,0
192.168.1.12,20.189.173.23,52848,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:05,538393.2590484619,7041.321443548691,24.145918957038507,14.859027050485235,9.286891906553272,8,5,2125,1666,1072.0,60.0,265.625,353.06017104029166,809.0,60.0,333.2,303.7929558103677,1072,60,291.61538461538464,336.57929422615285,113285.62130177517,160,100,20,7,44866.10492070516,178052.6638031006,0.0,75576.5221297922,538393.2590484619,178053.1406402588,796.0796356201172,76913.32272120884,85597.25158141225,362205.98220825195,180250.4062652588,0.476837158203125,90551.49555206299,89239.69546605428,0,0,0,0,1,0,0,0,0,0,0,0.625,291.61538461538464,65535,16386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.625,333.2,0,8,5,2125,1666
20.189.173.23,192.168.1.12,443,52848,a6:ba:5f:4c:8c:03,c8:a3:e8:00:75:89,6,2025-05-15 19:03:06,0.0,0,0,0,0,1,0,5702,0,5702.0,5702.0,5702.0,0.0,0.0,0.0,0.0,0.0,5702,5702,5702.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,5702.0,16384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5702.0,0.0,0,1,0,5702,0
192.168.1.16,192.168.1.255,60576,15600,24:fc:e5:ce:23:90,ff:ff:ff:ff:ff:ff,17,2025-05-15 19:03:06,0.0,0,0,0,0,1,0,77,0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,77,77,77.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,77.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0,1,0,77,0
192.168.1.1,192.168.1.254,46271,53,08:00:27:2e:49:2d,b0:d1:d6:55:23:5e,17,2025-05-15 19:03:07,9994.268417358398,37621.56310980701,200.11469739259047,100.05734869629524,100.05734869629524,1,1,100,276,100.0,100.0,100.0,0.0,276.0,276.0,276.0,0.0,276,100,188.0,88.0,7744.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,188.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,276.0,0,1,1,100,276
