                                                                                                                                                                 agent                @timestamp                    ecs                                                                                   destination                                                                                                                                                                                                                                                                                                                                                                                                      host                                                                                            source                                                                                                                                                                                                                                                             event  type                                                                                          flow                                                                                                                 network
0  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'type': 'packetbeat', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}   {'port': 443, 'bytes': 149, 'ip': '54.81.126.40', 'mac': 'B0-D1-D6-55-23-5E', 'packets': 1}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'family': 'debian', 'type': 'linux', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}      {'port': 51782, 'bytes': 186, 'ip': '192.168.1.4', 'packets': 2, 'mac': 'C8-A3-E8-00-75-89'}         {'duration': 839492, 'ingested': '2025-04-09T08:15:25.042628572Z', 'kind': 'event', 'start': '2025-04-09T08:15:11.339Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:11.339Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGw0dZVI17Io+gAdYk2UX4owKgBBLsBRsqiNAAAAAAAAA'}      {'community_id': '1:omuiC5cUsveEddmQNcbvn5nkrXw=', 'bytes': 335, 'transport': 'tcp', 'type': 'ipv4', 'packets': 3}
1  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'type': 'packetbeat', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}   {'port': 443, 'bytes': 362, 'ip': '52.0.218.127', 'packets': 3, 'mac': 'B0-D1-D6-55-23-5E'}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'type': 'linux', 'family': 'debian', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}     {'port': 51783, 'bytes': 1275, 'ip': '192.168.1.4', 'mac': 'C8-A3-E8-00-75-89', 'packets': 5}     {'duration': 2019299101, 'ingested': '2025-04-09T08:15:25.044088255Z', 'kind': 'event', 'start': '2025-04-09T08:15:12.348Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:14.368Z', 'type': ['connection'], 'category': ['network'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGw0dZVI17Io+gAdYk0ANp/wKgBBLsBR8qjNAAAAAAAAA'}     {'community_id': '1:CIiZ+Rpv/PxTBKP9Rc3VEtkiDa4=', 'bytes': 1637, 'transport': 'tcp', 'type': 'ipv4', 'packets': 8}
2  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'type': 'packetbeat', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}  {'port': 443, 'bytes': 2377, 'ip': '104.18.32.47', 'mac': 'B0-D1-D6-55-23-5E', 'packets': 8}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'family': 'debian', 'type': 'linux', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'containerized': False, 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}   {'port': 52474, 'bytes': 46064, 'ip': '192.168.1.4', 'mac': 'C8-A3-E8-00-75-89', 'packets': 12}       {'duration': 30120309, 'ingested': '2025-04-09T08:15:25.045660242Z', 'kind': 'event', 'start': '2025-04-09T08:15:13.357Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:13.387Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGw0dZVI17Io+gAdYloEiAvwKgBBLsB+sykNAAAAAAAAA'}   {'community_id': '1:F1UGax91mz5sSfRoa1QgBvKvvhQ=', 'bytes': 48441, 'transport': 'tcp', 'type': 'ipv4', 'packets': 20}
3  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'type': 'packetbeat', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}  {'port': 443, 'bytes': 1746, 'ip': '104.18.32.47', 'mac': 'B0-D1-D6-55-23-5E', 'packets': 9}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'type': 'linux', 'family': 'debian', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}   {'port': 52318, 'bytes': 18524, 'ip': '192.168.1.4', 'packets': 13, 'mac': 'C8-A3-E8-00-75-89'}     {'duration': 1513098452, 'ingested': '2025-04-09T08:15:25.046958732Z', 'kind': 'event', 'start': '2025-04-09T08:15:13.358Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:14.871Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGw0dZVI17Io+gAdYloEiAvwKgBBLsBXsylNAAAAAAAAA'}   {'community_id': '1:N1If5Rich2u9dX9saznnAoGsdIo=', 'bytes': 20270, 'transport': 'tcp', 'type': 'ipv4', 'packets': 22}
4  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'type': 'packetbeat', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}                              {'port': 52318, 'ip': '192.168.1.4', 'mac': 'C8-A3-E8-00-75-89'}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'type': 'linux', 'family': 'debian', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}      {'port': 443, 'bytes': 2054, 'ip': '104.18.32.47', 'packets': 8, 'mac': 'A6-BA-5F-4C-8C-03'}     {'duration': 1506354020, 'ingested': '2025-04-09T08:15:25.048196878Z', 'kind': 'event', 'start': '2025-04-09T08:15:13.363Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:14.869Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGmul9MjAPIo+gAdYloEiAvwKgBBLsBXsylNAAAAAAAAA'}     {'community_id': '1:N1If5Rich2u9dX9saznnAoGsdIo=', 'bytes': 2054, 'transport': 'tcp', 'type': 'ipv4', 'packets': 8}
5  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'type': 'packetbeat', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}                              {'port': 52474, 'ip': '192.168.1.4', 'mac': 'C8-A3-E8-00-75-89'}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'type': 'linux', 'family': 'debian', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}     {'port': 443, 'bytes': 2030, 'ip': '104.18.32.47', 'packets': 16, 'mac': 'A6-BA-5F-4C-8C-03'}       {'duration': 23083381, 'ingested': '2025-04-09T08:15:25.049702656Z', 'kind': 'event', 'start': '2025-04-09T08:15:13.364Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:13.387Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGmul9MjAPIo+gAdYloEiAvwKgBBLsB+sykNAAAAAAAAA'}    {'community_id': '1:F1UGax91mz5sSfRoa1QgBvKvvhQ=', 'bytes': 2030, 'transport': 'tcp', 'type': 'ipv4', 'packets': 16}
6  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'type': 'packetbeat', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}   {'port': 443, 'bytes': 152, 'ip': '35.174.210.7', 'packets': 1, 'mac': 'B0-D1-D6-55-23-5E'}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'type': 'linux', 'family': 'debian', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}     {'port': 52389, 'bytes': 1029, 'ip': '192.168.1.4', 'mac': 'C8-A3-E8-00-75-89', 'packets': 2}        {'duration': 3232254, 'ingested': '2025-04-09T08:15:25.050932700Z', 'kind': 'event', 'start': '2025-04-09T08:15:14.365Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:14.368Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGw0dZVI17Io+gAdYkjrtIHwKgBBLsBpcymNAAAAAAAAA'}     {'community_id': '1:/VQ9HyzLifcm/kouBdakVxz0EyM=', 'bytes': 1181, 'transport': 'tcp', 'type': 'ipv4', 'packets': 3}
7  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'type': 'packetbeat', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}   {'port': 443, 'bytes': 152, 'ip': '35.174.210.7', 'mac': 'B0-D1-D6-55-23-5E', 'packets': 1}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'type': 'linux', 'family': 'debian', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}     {'port': 52373, 'bytes': 1012, 'ip': '192.168.1.4', 'packets': 2, 'mac': 'C8-A3-E8-00-75-89'}        {'duration': 2080152, 'ingested': '2025-04-09T08:15:25.053154212Z', 'kind': 'event', 'start': '2025-04-09T08:15:14.366Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:14.368Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow  {'final': False, 'id': 'EQwA////DP//////FBgBAAGw0dZVI17Io+gAdYkjrtIHwKgBBLsBlcynNAAAAAAAAA'}     {'community_id': '1:caJPR+huIEqYH6IXqawErz1OC/M=', 'bytes': 1164, 'transport': 'tcp', 'type': 'ipv4', 'packets': 3}
8  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'type': 'packetbeat', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}                             {'port': 9995, 'ip': '192.168.1.255', 'mac': 'FF-FF-FF-FF-FF-FF'}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'family': 'debian', 'type': 'linux', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}  {'port': 57488, 'bytes': 61021, 'ip': '192.168.1.2', 'packets': 439, 'mac': '4C-AB-F8-96-B3-4D'}  {'duration': 2441933999433, 'ingested': '2025-04-09T08:15:25.054673399Z', 'kind': 'event', 'start': '2025-04-09T07:34:28.902Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:10.836Z', 'type': ['connection'], 'category': ['network'], 'dataset': 'flow'}  flow             {'final': False, 'id': 'EQIA////DP////8U//8BAAFMq/iWs03////////AqAECwKgB/5DgCyc'}  {'community_id': '1:Oj/2VVonJJw+84RECUx8b2vR++4=', 'bytes': 61021, 'transport': 'udp', 'type': 'ipv4', 'packets': 439}
9  {'name': 'Ubuntu', 'id': 'b2fb649a-ec61-46e0-9bfd-81240090f087', 'type': 'packetbeat', 'ephemeral_id': '734fc4ca-beae-4636-9da5-f2953f419f6b', 'version': '8.17.4'}  2025-04-09T08:15:15.011Z  {'version': '8.11.0'}                               {'port': 5353, 'ip': '224.0.0.251', 'mac': '01-00-5E-00-00-FB'}  {'hostname': 'Ubuntu', 'os': {'kernel': '6.11.0-21-generic', 'codename': 'noble', 'name': 'Ubuntu', 'type': 'linux', 'family': 'debian', 'version': '24.04.1 LTS (Noble Numbat)', 'platform': 'ubuntu'}, 'containerized': False, 'ip': ['192.168.1.13', 'fe80::a00:27ff:fe14:6cdb'], 'name': 'ubuntu', 'id': '48cdefbfc16d49caa1991d5304165686', 'mac': ['08-00-27-14-6C-DB'], 'architecture': 'x86_64'}    {'port': 5353, 'bytes': 3193, 'ip': '192.168.1.21', 'packets': 31, 'mac': '50-0F-F5-3D-67-0D'}   {'duration': 562127226162, 'ingested': '2025-04-09T08:15:25.056255444Z', 'kind': 'event', 'start': '2025-04-09T08:05:43.666Z', 'action': 'network_flow', 'end': '2025-04-09T08:15:05.794Z', 'category': ['network'], 'type': ['connection'], 'dataset': 'flow'}  flow             {'final': False, 'id': 'EQIA////DP////8U//8BAAEBAF4AAPtQD/U9Zw3gAAD7wKgBFekU6RQ'}    {'community_id': '1:0jmMtFVqhPLWvykPHzGFcOUEPwc=', 'bytes': 3193, 'transport': 'udp', 'type': 'ipv4', 'packets': 31}
